american-journal-of-physiology-cell-physiology	ajp-cell-physiology
american-journal-of-physiology-endocrinology-and-metabolism	ajp-endocrinology-and-metabolism
american-journal-of-physiology-gastrointestinal-and-liver-physiology	ajp-gastrointestinal-and-liver-physiology
american-journal-of-physiology-heart-and-circulatory-physiology	ajp-heart-and-circulatory-physiology
american-journal-of-physiology-lung-cellular-and-molecular-physiology	ajp-lung-cellular-and-molecular-physiology
american-journal-of-physiology-regulatory-integrative-and-comparative-physiology	ajp-regulatory-integrative-and-comparative-physiology
american-journal-of-physiology-renal-physiology	ajp-renal-physiology
