publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	title_id	coverage_depth	coverage_notes	publisher_name
Occupational and environmental medicine	1351-0711	1470-7926	1994	51	1				http://oem.bmj.com/	oem	full text		BMJ Group
British journal of industrial medicine	0007-1072		1944	1	1	1993	50	12	http://oem.bmj.com/	oem	full text		BMJ Group
Postgraduate medical journal	0032-5473	1469-0756	1925	1	1				http://pmj.bmj.com/	postgradmedj	full text		BMJ Group
Practical neurology	1474-7758	1474-7766	2001	1	1				http://pn.bmj.com/	practneurol	full text		BMJ Group
Sexually transmitted infections	1368-4973	1472-3263	1998	74	1				http://sti.bmj.com/	sextrans	full text		BMJ Group
Genitourinary medicine	0266-4348		1985	61	1	1997	73	6	http://sti.bmj.com/	sextrans	full text		BMJ Group
The British journal of venereal diseases	0007-134X		1925	1	1	1984	60	6	http://sti.bmj.com/	sextrans	full text		BMJ Group
Student BMJ	0966-6494		1992						http://student.bmj.com/	n/a	full text		BMJ Group
Thorax	0040-6376	1468-3296	1946	1	1				http://thorax.bmj.com/	thoraxjnl	full text		BMJ Group
Veterinary Record	2042-7670		1888	138	1				http://veterinaryrecord.bmj.com/	vetrec	full text	Abstracts Only: January 1975 - December 1995. Tables of Contents Only: April 1950 - December 1974 	BMJ Group
Tobacco control	0964-4563	1468-3318	1992	1	1				http://tobaccocontrol.bmj.com/	tobaccocontrol	full text		BMJ Group
The European Journal of Hospital Pharmacy: Science and Practice	2047-9956	2047-9964	2012	19	1				http://ejhp.bmj.com/	ejhpharm	full text		BMJ Group
