Title	ISSN	eISSN	Format	Parent	Documentation
Research in Astronomy and Astrophysics	1674-4527		numeric	institute-of-physics-numeric	http://iopscience.iop.org/1674-4527
Russian Chemical Reviews	0036-021X	1468-4837	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0036-021X
Russian Mathematical Surveys	0036-0279	1468-4829	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0036-0279
Sbornik: Mathematics	1064-5616	1468-4802	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1064-5616
Science Foundation in China	1005-0841		numeric	institute-of-physics-numeric	http://iopscience.iop.org/1005-0841
Science and Technology of Advanced Materials	1468-6996	1878-5514	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1468-6996
Semiconductor Science and Technology	0268-1242	1361-6641	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0268-1242
Smart Materials and Structures	0964-1726	1361-665X	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0964-1726
Superconductor Science and Technology	0953-2048	1361-6668	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0953-2048
Surface Topography: Metrology and Properties		2051-672X	numeric	institute-of-physics-numeric	http://iopscience.iop.org/2051-672X
The Astronomical Journal	0004-6256	1538-3881	numeric	the-astrophysical-journal	http://aas.org/authors/manuscript-preparation-aj-apj-author-instructions#references
The Astrophysical Journal	0004-637X	1538-4357	numeric	the-astrophysical-journal	http://aas.org/authors/manuscript-preparation-aj-apj-author-instructions#references
The Astrophysical Journal Letters	2041-8205	2041-8213	numeric	the-astrophysical-journal	http://aas.org/authors/manuscript-preparation-aj-apj-author-instructions#references
The Astrophysical Journal Supplement Series	0067-0049	1538-4365	numeric	the-astrophysical-journal	http://aas.org/authors/manuscript-preparation-aj-apj-author-instructions#references
