Title	ISSN	eISSN
American Association for Cancer Research (AACR)	x	x
Cancer Discovery	2159-8274	2159-8290
Cancer Epidemiology, Biomarkers & Prevention	1055-9965	1538-7755
Cancer Immunology Research	x	x
Cancer Prevention Research	1940-6207	1940-6215
Cancer Research	Aug-72	1538-7445
Molecular Cancer Research	1541-7786	1557-3125
Molecular Cancer Therapeutics	1535-7163	1538-8514
