Title	ISSN	Field	Field2	Documentation
IEEE Latin America Transactions (Revista IEEE America Latina)	1548-0992	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=9907
IEEE Magnetics Letters	1949-307X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5165412
IEEE Micro	0272-1732	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=40
IEEE Microwave and Wireless Components Letters	1531-1309	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=7260
IEEE Microwave Magazine	1527-3342	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6668
IEEE MultiMedia	1070-986X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=93
IEEE Nanotechnology Magazine	1932-4510	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4451717
IEEE Network	0890-8044	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=65
IEEE Pervasive Computing	1536-1268	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=7756
IEEE Photonics Journal	1943-0655	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4563994
IEEE Photonics Technology Letters	1041-1135	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=68
IEEE Potentials	0278-6648	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=45
IEEE Power and Energy Magazine	1540-7977	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=8014
IEEE Pulse	2154-2287	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5454060
IEEE Reviews in Biomedical Engineering	1937-3333	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4664312
IEEE Revista Iberoamericana de Tecnologias del Aprendizaje	1932-8540	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6245520
IEEE Robotics & Automation Magazine	1070-9932	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=100
IEEE Security & Privacy	1540-7993	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=8013
IEEE Sensors Journal	1530-437X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=7361
IEEE Signal Processing Letters	1070-9908	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=97
IEEE Signal Processing Magazine	1053-5888	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=79
IEEE Software	0740-7459	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=52
IEEE Solid-State Circuits Magazine	1943-0582	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4563670
IEEE Spectrum	0018-9235	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6
IEEE Systems Journal	1932-8184	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4267003
IEEE Technology and Society Magazine	0278-0097	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=44
IEEE Transactions on Aerospace and Electronic Systems	0018-9251	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=7
IEEE Transactions on Affective Computing	1949-3045	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5165369
IEEE Transactions on Antennas and Propagation	0018-926X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=8
IEEE Transactions on Applied Superconductivity	1051-8223	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=77
IEEE Transactions on Automatic Control	0018-9286	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=9
IEEE Transactions on Automation Science and Engineering	1545-5955	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=8856
IEEE Transactions on Autonomous Mental Development	1943-0604	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4563672
IEEE Transactions on Biomedical Circuits and Systems	1932-4545	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4156126
IEEE Transactions on Biomedical Engineering	0018-9294	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=10
IEEE Transactions on Broadcasting	0018-9316	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=11
IEEE Transactions on Circuits and Systems for Video Technology	1051-8215	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=76
IEEE Transactions on Circuits and Systems I: Regular Papers	1549-8328	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=8919
IEEE Transactions on Circuits and Systems II: Express Briefs	1549-7747	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=8920
IEEE Transactions on Cloud Computing	2168-7161	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6245519
IEEE Transactions on Communications	0090-6778	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=26
IEEE Transactions on Components, Packaging and Manufacturing Technology	2156-3950	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5503870
IEEE Transactions on Computational Intelligence and AI in Games	1943-068X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4804728
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	0278-0070	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=43
IEEE Transactions on Computers	0018-9340	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=12
IEEE Transactions on Consumer Electronics	0098-3063	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=30
IEEE Transactions on Control Systems Technology	1063-6536	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=87
IEEE Transactions on Cybernetics	2168-2267	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6221036
IEEE Transactions on Dependable and Secure Computing	1545-5971	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=8858
IEEE Transactions on Device and Materials Reliability	1530-4388	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=7298
IEEE Transactions on Dielectrics and Electrical Insulation	1070-9878	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=94
IEEE Transactions on Education	0018-9359	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=13
IEEE Transactions on Electromagnetic Compatibility	0018-9375	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=15
IEEE Transactions on Electron Devices	0018-9383	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=16
IEEE Transactions on Emerging Topics in Computing	2168-6750	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6245516
IEEE Transactions on Energy Conversion	0885-8969	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=60
IEEE Transactions on Engineering Management	0018-9391	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=17
IEEE Transactions on Evolutionary Computation	1089-778X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4235
IEEE Transactions on Fuzzy Systems	1063-6706	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=91
IEEE Transactions on Geoscience and Remote Sensing	0196-2892	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=36
IEEE Transactions on Haptics	1939-1412	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4543165
IEEE Transactions on Human-Machine Systems	2168-2291	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6221037
IEEE Transactions on Image Processing	1057-7149	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=83
IEEE Transactions on Industrial Electronics	0278-0046	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=41
IEEE Transactions on Industrial Informatics	1551-3203	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=9424
IEEE Transactions on Industry Applications	0093-9994	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=28
IEEE Transactions on Information Forensics and Security	1556-6013	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=10206
IEEE Transactions on Information Theory	0018-9448	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=18
IEEE Transactions on Instrumentation and Measurement	0018-9456	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=19
IEEE Transactions on Intelligent Transportation Systems	1524-9050	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6979
IEEE Transactions on Knowledge and Data Engineering	1041-4347	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=69
IEEE Transactions on Learning Technologies	1939-1382	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4620076
IEEE Transactions on Magnetics	0018-9464	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=20
IEEE Transactions on Medical Imaging	0278-0062	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=42
IEEE Transactions on Microwave Theory and Techniques	0018-9480	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=22
IEEE Transactions on Mobile Computing	1536-1233	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=7755
IEEE Transactions on Multimedia	1520-9210	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6046
IEEE Transactions on NanoBioscience	1536-1241	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=7728
IEEE Transactions on Nanotechnology	1536-125X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=7729
IEEE Transactions on Network and Service Management	1932-4537	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4275028
