Title	TitleShort	ISSN	EISSN	Parent	Format	Field	Locale
International Journal of Game Theory	Int J Game Theory	0020-7276	1432-1270	springer-basic-author-date	author-date	science	en-US
Metrika	Metrika	0026-1335	1435-926X	springer-basic-author-date	author-date	science	en-US
Mathematical Methods of Operations Research	Math Meth Oper Res	1432-2994	1432-5217	springer-basic-author-date	author-date	science	en-US
Journal of Management Control	J Manag Control	2191-4761	2191-477X	springer-socpsych-author-date	author-date	psychology	en-US
Journal of Geodesy	J Geod	0949-7714	1432-1394	springer-basic-author-date	author-date	science	en-US
Journal of Evolutionary Economics	J Evol Econ	0936-9937	1432-1386	springer-basic-author-date	author-date	science	en-US
International Urogynecology Journal	Int Urogynecol J	0937-3462	1433-3023	springer-basic-brackets	numeric	science	en-US
Shock Waves	Shock Waves	0938-1287	1432-2153	springer-mathphys-brackets	numeric	science	en-US
Rechtsmedizin (German)		0937-9819	1434-5196	springer-basic-brackets	numeric		de-DE
Osteoporosis International	Osteoporos Int	0937-941X	1433-2965	springer-basic-brackets	numeric	science	en-US
Economic Theory	Econ Theory	0938-2259	1432-0479	springer-mathphys-author-date	author-date	science	en-US
Applicable Algebra in Engineering, Communication and Computing	AAECC	0938-1279	1432-0622	springer-mathphys-brackets	numeric	science	en-US
Electrical Engineering	Electr Eng	0948-7921	1432-0487	springer-basic-brackets	numeric	science	en-US
Archives of Microbiology	Arch Microbiol	0302-8933	1432-072X	springer-basic-author-date	author-date	science	en-US
Archives of Toxicology	Arch Toxicol	0340-5761	1432-0738	springer-basic-author-date	author-date	science	en-US
Archive for Rational Mechanics and Analysis	Arch Rational Mech Anal	0003-9527	1432-0673	springer-mathphys-brackets	numeric	science	en-US
Mathematische Annalen	Math. Ann.	0025-5831	1432-1807	springer-mathphys-brackets	numeric	science	en-US
Mathematische Zeitschrift	Math. Z.	0025-5874	1432-1823	springer-mathphys-brackets	numeric	science	en-US
Naunyn-Schmiedeberg's Archives of Pharmacology	Naunyn-Schmiedeberg's Arch Pharmacol	0028-1298	1432-1912	springer-basic-author-date	author-date	science	en-US
Numerische Mathematik	Numer. Math.	0029-599X	0945-3245	springer-mathphys-brackets	numeric	science	en-US
Psychopharmacology	Psychopharmacology	0033-3158	1432-2072	springer-basic-author-date	author-date	science	en-US
Theoretical Chemistry Accounts	Theor Chem Acc	1432-881X	1432-2234	springer-basic-brackets	numeric	science	en-US
Analytical and Bioanalytical Chemistry	Anal Bioanal Chem	1618-2642	1618-2650	springer-basic-brackets	numeric	science	en-US
European Food Research and Technology	Eur Food Res Technol	1438-2377	1438-2385	springer-basic-brackets	numeric	science	en-US
Communications in Mathematical Physics	Commun. Math. Phys.	0010-3616	1432-0916	springer-mathphys-brackets	numeric	science	en-US
