Title	ISSN	eISSN	Documentation
Biology Open		2046-6390	http://bio.biologists.org/site/author/manuscript_preparation.xhtml#refs
Development	0950-1991	1477-9129	http://dev.biologists.org/site/submissions/manuscript_prep.xhtml#references
Disease Models & Mechanisms	1754-8403	1754-8411	http://dmm.biologists.org/site/author/manuscript_prep.xhtml#refs
Journal of Cell Science	0021-9533	1477-9137	http://jcs.biologists.org/site/author/manuscript_preparation.xhtml#refs
The Journal of Experimental Biology	0022-0949	1477-9145	http://jeb.biologists.org/site/author/manuscript_preparation.xhtml#references
