Title	ISSN	EISSN	category-field	parent	documentation
Toxicological & Environmental Chemistry	0277-2248	1029-0486	biology	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GTEC20&page=instructions
Transportation Planning and Technology	0308-1060	1029-0354	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GTPT20&page=instructions
Aging, Neuropsychology, and Cognition	1382-5585	1744-4128	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=NANC20&page=instructions
Biological Rhythm Research	0929-1016	1744-4179	biology	taylor-and-francis-council-of-science-editors-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NBRR20&page=instructions
Computer Assisted Language Learning	0958-8221	1744-3210	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=NCAL20&page=instructions
CoDesign	1571-0882	1745-3755	engineering	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NCDN20&page=instructions
Journal of Clinical and Experimental Neuropsychology	1380-3395	1744-411X	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=NCEN20&page=instructions
Child Neuropsychology	0929-7049	1744-4136	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=NCNY20&page=instructions
Computer Science social_science	0899-3408	1744-5175	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=NCSE20&page=instructions
Digital Creativity	1462-6268	1744-3806	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NDCR20&page=instructions
Journal of Integrative Environmental Sciences	1943-815X	1943-8168	biology	taylor-and-francis-council-of-science-editors-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NENS20&page=instructions
social_scienceal Research and Evaluation	1380-3611	1744-4187	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=NERE20&page=instructions
Georisk: Assessment and Management of Risk for Engineered Systems and Geohazards	1749-9518	1749-9526	engineering	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NGRK20&page=instructions
International Journal of Injury Control and Safety Promotion	1745-7300	1745-7319	engineering	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=NICS20&page=instructions
Interactive Learning Environments	1049-4820	1744-5191	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=NILE20&page=instructions
Neurocase	1355-4794	1465-3656	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=NNCS20&page=instructions
Journal of New Music Research	0929-8215	1744-5027	humanities	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=NNMR20&page=instructions
School Effectiveness and School Improvement	0924-3453	1744-5124	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=NSES20&page=instructions
The Clinical Neuropsychologist	1385-4046	1744-4144	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=NTCN20&page=instructions
Virtual and Physical Prototyping	1745-2759	1745-2767	engineering	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NVPP20&page=instructions
Vehicle System Dynamics	0042-3114	1744-5159	engineering	taylor-and-francis-national-library-of-medicine	http://www.tandfonline.com/action/authorSubmission?journalCode=NVSD20&page=instructions
Aphasiology	0268-7038	1464-5041	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PAPH20&page=instructions
Cognition & Emotion	0269-9931	1464-0600	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PCEM20&page=instructions
Cognitive Neuropsychology	0264-3294	1464-0627	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PCGN20&page=instructions
Cognitive Neuropsychiatry	1354-6805	1464-0619	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PCNP20&page=instructions
Cognitive Neuroscience	1758-8928	1758-8936	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PCNS20&page=instructions
Journal of Cognitive Psychology	2044-5911	2044-592X	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PECP20&page=instructions
European Journal of Developmental Psychology	1740-5629	1740-5610	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PEDP20&page=instructions
European Review of Social Psychology	1046-3283	1479-277X	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PERS20&page=instructions
European Journal of Work and Organizational Psychology	1359-432X	1464-0643	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PEWO20&page=instructions
International Journal of Psychology	0020-7594	1464-066X	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PIJP20&page=instructions
Laterality: Asymmetries of Body, Brain and Cognition	1357-650X	1464-0678	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PLAT20&page=instructions
Language and Cognitive Processes	0169-0965	1464-0732	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PLCP20&page=instructions
Memory	0965-8211	1464-0686	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PMEM20&page=instructions
Neuropsychological Rehabilitation	0960-2011	1464-0694	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PNRH20&page=instructions
The Quarterly Journal of Experimental Psychology	1747-0218	1747-0226	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PQJE20&page=instructions
Self and Identity	1529-8868	1529-8876	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PSAI20&page=instructions
Social Influence	1553-4510	1553-4529	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PSIF20&page=instructions
Social Neuroscience	1747-0919	1747-0927	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PSNS20&page=instructions
Thinking & Reasoning	1354-6783	1464-0708	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PTAR20&page=instructions
Visual Cognition	1350-6285	1464-0716	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PVIS20&page=instructions
Writing Systems Research	1758-6801	1758-681X	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=PWSR20&page=instructions
Asia-Pacific Journal of Accounting & Economics	1608-1625	2164-2257	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAAE20&page=instructions
Asian Anthropology	1683-478X	2168-4227	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAAN20&page=instructions
African and Black Diaspora: An International Journal	1752-8631	1752-864X	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RABD20&page=instructions
Accounting History Review	2155-2851	2155-286X	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RABF20&page=instructions
International Journal of Adolescence and Youth	0267-3843	2164-4527	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RADY20&page=instructions
The Journal of Agricultural social_science and Extension	1389-224X	1750-8622	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAEE20&page=instructions
African Geographical Review	1937-6812	2163-2642	biology	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RAFG20&page=instructions
Africa Review	0974-4053	0974-4061	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAFR20&page=instructions
Asian Geographer	1022-5706	2158-1762	biology	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAGE20&page=instructions
Attachment & Human Development	1461-6734	1469-2988	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RAHD20&page=instructions
Arts & Health	1753-3015	1753-3023	medicine	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RAHE20&page=instructions
Australian Journal of Learning Difficulties	1940-4158	1940-4166	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RALD20&page=instructions
The Academy of Management Annals	1941-6520	1941-6067	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RAMA20&page=instructions
Applied Mathematical Finance	1350-486X	1466-4313	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RAMF20&page=instructions
Anatolia	1303-2917	2156-6909	political_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RANA20&page=instructions
Annals of Leisure Research	1174-5398	2159-6816	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RANZ20&page=instructions
Journal of Adventure social_science & Outdoor Learning	1472-9679	1754-0402	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RAOL20&page=instructions
Asia Pacific Journal of Counselling and Psychotherapy	2150-7686	2150-7708	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RAPC20&page=instructions
Australian Planner	0729-3682	2150-6841	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAPL20&page=instructions
Asian Population Studies	1744-1730	1744-1749	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RAPS20&page=instructions
Asia Pacific Journal of Tourism Research	1094-1665	1741-6507	political_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RAPT20&page=instructions
American Review of Canadian Studies	0272-2011	1943-9954	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RARC20&page=instructions
International Journal of Art Therapy	1745-4832	1745-4840	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RART20&page=instructions
Advances in School Mental Health Promotion	1754-730X	2049-8535	medicine	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RASM20&page=instructions
Asia-Pacific Journal of Health, Sport and Physical social_science	1837-7122	1837-7130	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RASP20&page=instructions
Journal of Baltic Studies	0162-9778	1751-7877	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RBAL20&page=instructions
International Journal of Bilingual social_science and Bilingualism	1367-0050	1747-7522	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RBEB20&page=instructions
Building Research & Information	0961-3218	1466-4321	engineering	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RBRI20&page=instructions
Contemporary Arab Affairs	1755-0912	1755-0920	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCAA20&page=instructions
International Journal of Comparative and Applied Criminal Justice	0192-4036	2157-6475	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCAC20&page=instructions
Journal of Comparative Asian Development	1533-9114	2150-5403	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCAD20&page=instructions
Critical African Studies	2168-1392	2040-7211	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCAF20&page=instructions
Culture and Religion	1475-5610	1475-5629	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCAR20&page=instructions
Canadian Journal of African Studies/ La Revue canadienne des études africaines	0008-3968	1923-3051	political_science	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=RCAS20&page=instructions
Contemporary Buddhism	1463-9947	1476-7953	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCBH20&page=instructions
International Journal of Culture and Mental Health	1754-2863	1754-2871	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCCM20&page=instructions
Classroom Discourse	1946-3014	1946-3022	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCDI20&page=instructions
Critical Discourse Studies	1740-5904	1740-5912	humanities	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCDS20&page=instructions
Journal of Chinese Economic and Business Studies	1476-5284	1476-5292	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCEA20&page=instructions
Communication social_science	0363-4523	1479-5795	humanities	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCED20&page=instructions
China Economic Journal	1753-8963	1753-8971	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCEJ20&page=instructions
Journal of Children and Media	1748-2798	1748-2801	humanities	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCHM20&page=instructions
Current Issues in Tourism	1368-3500	1747-7603	political_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCIT20&page=instructions
China Journal of Accounting Studies	2169-7221	2169-7213	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCJA20&page=instructions
Chinese Journal of Communication	1754-4750	1754-4769	humanities	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCJC20&page=instructions
Canadian Journal of Development Studies / Revue canadienne d'études du développement	0225-5189	2158-9100	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCJD20&page=instructions
Journal of Criminal Justice social_science	1051-1253	1745-9117	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCJE20&page=instructions
Curriculum Journal	0958-5176	1469-3704	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCJO20&page=instructions
Canadian Journal of Philosophy	0045-5091	1911-0820	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCJP20&page=instructions
Current Issues in Language Planning	1466-4208	1747-7506	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCLP20&page=instructions
Communication Teacher	1740-4622	1740-4630	humanities	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCMT20&page=instructions
Capitalism Nature Socialism	1045-5752	1548-3290	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCNS20&page=instructions
Coaching: An International Journal of Theory, Research and Practice	1752-1882	1752-1890	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCOA20&page=instructions
Journal of Graphic Novels and Comics	2150-4857	2150-4865	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCOM20&page=instructions
Counselling and Psychotherapy Research	1473-3145	1746-1405	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCPR20&page=instructions
Critical Studies in Media Communication	1529-5036	1479-5809	humanities	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RCSM20&page=instructions
Critical Studies on Security	2162-4887	2162-4909	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCSS20&page=instructions
China Journal of Social Work	1752-5098	1752-5101	medicine	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCSW20&page=instructions
Geografisk Tidsskrift-Danish Journal of Geography	0016-7223	1903-2471	political_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RDGS20&page=instructions
Digital Journalism	2167-0811	2167-082X	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RDIJ20&page=instructions
Dramatherapy	0263-0672	2157-1430	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RDRT20&page=instructions
Diaspora Studies	0973-9572	0976-3457	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RDST20&page=instructions
social_scienceal Action Research	0965-0792	1747-5074	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REAC20&page=instructions
Ethnography and social_science	1745-7823	1745-7831	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REAE20&page=instructions
Social and Environmental Accountability Journal	0969-160X	2156-2245	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REAJ20&page=instructions
Advances in Eating Disorders: Theory, Research and Practice	2166-2630	2166-2649	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=REAT20&page=instructions
Emotional and Behavioural Difficulties	1363-2752	1741-2692	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REBD20&page=instructions
Journal of Ecotourism	1472-4049	1747-7638	political_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RECO20&page=instructions
European Early Childhood social_science Research Journal	1350-293X	1752-1807	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RECR20&page=instructions
Eurasian Geography and Economics	1538-7216	1938-2863	biology	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REGE20&page=instructions
European Journal of Higher social_science	2156-8235	2156-8243	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REHE20&page=instructions
The European Journal of Finance	1351-847X	1466-4364	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REJF20&page=instructions
The European Journal of the History of Economic Thought	0967-2567	1469-5936	social_science	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=REJH20&page=instructions
European Journal of Psychotherapy & Counselling	1364-2537	1469-5901	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=REJP20&page=instructions
European Journal of Special Needs social_science	0885-6257	1469-591X	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REJS20&page=instructions
social_scienceal Media International	0952-3987	1469-5790	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=REMI20&page=instructions
Environmental Communication: A Journal of Nature and Culture	1752-4032	1752-4040	biology	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RENC20&page=instructions
social_scienceal Philosophy and Theory	0013-1857	1469-5812	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=REPT20&page=instructions
Early Popular Visual Culture	1746-0654	1746-0662	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REPV20&page=instructions
social_scienceal Research	0013-1881	1469-5847	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RERE20&page=instructions
Ethnic and Racial Studies	0141-9870	1466-4356	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RERS20&page=instructions
European Sport Management Quarterly	1618-4742	1746-031X	political_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RESM20&page=instructions
Ethics and Social Welfare	1749-6535	1749-6543	medicine	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RESW20&page=instructions
social_science 3-13	0300-4279	1475-7575	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RETT20&page=instructions
International Journal of Housing Policy	1461-6718	1473-3269	political_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=REUJ20&page=instructions
Feminist Economics	1354-5701	1466-4372	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RFEC20&page=instructions
The Review of Faith & International Affairs	1557-0274	1931-7743	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RFIA20&page=instructions
Feminist Media Studies	1468-0777	1471-5902	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RFMS20&page=instructions
Family Science	1942-4620	1942-4639	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RFSC20&page=instructions
Forum for Social Economics	0736-0932	1874-6381	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RFSE20&page=instructions
First Amendment Studies	2168-9725	2168-9733	humanities	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=RFSY20&page=instructions
Fatigue: Biomedicine, Health & Behavior	2164-1846	2164-1862	medicine	taylor-and-francis-national-library-of-medicine	http://www.tandfonline.com/action/authorSubmission?journalCode=RFTG20&page=instructions
New Review of Film and Television Studies	1740-0309	1740-7923	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RFTS20&page=instructions
First World War Studies	1947-5020	1947-5039	humanities	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=RFWW20&page=instructions
Journal of Global Scholars of Marketing Science	2163-9159	2163-9167	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RGAM20&page=instructions
International Research in Geographical and Environmental social_science	1038-2046	1747-7611	biology	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RGEE20&page=instructions
Journal of Global Fashion Marketing	2093-2685	2325-4483	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RGFM20&page=instructions
Global Discourse	2326-9995	2043-7897	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RGLD20&page=instructions
Global Public Health	1744-1692	1744-1706	medicine	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RGPH20&page=instructions
Green Letters	1468-8417	2168-1414	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RGRL20&page=instructions
The History of the Family	1081-602X	1873-5398	humanities	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RHOF20&page=instructions
Health Psychology and Behavioral Medicine: an Open Access Journal 		2164-2850	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RHPB20&page=instructions
Housing Policy Debate	1051-1482	2152-050X	political_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RHPD20&page=instructions
International Journal of Health Promotion and social_science	1463-5240	2164-9545	medicine	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RHPE20&page=instructions
Health Psychology Review	1743-7199	1743-7202	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RHPR20&page=instructions
Human Resource Development International	1367-8868	1469-8374	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RHRD20&page=instructions
Inter-Asia Cultural Studies	1464-9373	1469-8447	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIAC20&page=instructions
Innovation and Development	2157-930X	2157-9318	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIAD20&page=instructions
International Affairs Forum	2325-8020	2325-8047	political_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIAF20&page=instructions
International Studies in Catholic social_science	1942-2539	1942-2547	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RICE20&page=instructions
Information, Communication & Society	1369-118X	1468-4462	humanities	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RICS20&page=instructions
International Critical Thought	2159-8282	2159-8312	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RICT20&page=instructions
International Economic Journal	1016-8737	1743-517X	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIEJ20&page=instructions
Irish social_scienceal Studies	0332-3315	1747-4965	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIES20&page=instructions
International Gambling Studies	1445-9795	1479-4276	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIGS20&page=instructions
Innovations in social_science and Teaching International	1470-3297	1470-3300	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIIE20&page=instructions
International Journal for Academic Development	1360-144X	1470-1324	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIJA20&page=instructions
International Journal of Jungian Studies	1940-9052	1940-9060	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIJJ20&page=instructions
International Journal of Mental Health Promotion	1462-3730	2049-8543	medicine	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIJM20&page=instructions
International Journal of Play	2159-4937	2159-4953	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIJP20&page=instructions
International Journal of Sport and Exercise Psychology	1612-197X	1557-251X	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIJS20&page=instructions
Innovation in Language Learning and Teaching	1750-1229	1750-1237	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RILL20&page=instructions
Infant Observation	1369-8036	1745-8943	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIOB20&page=instructions
Journal of the Indian Ocean Region	1948-0881	1948-108X	political_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIOR20&page=instructions
The Irish Journal of Psychology	0303-3910	2158-0812	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIRI20&page=instructions
The International Review of Retail, Distribution and Consumer Research	0959-3969	1466-4402	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIRR20&page=instructions
International Review of Sport and Exercise Psychology	1750-984X	1750-9858	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIRS20&page=instructions
social_science of Terrorism and Political Aggression	1943-4472	1943-4480	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RIRT20&page=instructions
Journal of Intervention and Statebuilding	1750-2977	1750-2985	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RISB20&page=instructions
International Studies in Sociology of social_science	0962-0214	1747-5066	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RISS20&page=instructions
Contemporary Italian Politics	2324-8823	2324-8831	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RITA20&page=instructions
Journal of the Asia Pacific Economy	1354-7860	1469-9648	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJAP20&page=instructions
Atlantic Studies	1478-8810	1740-4649	humanities	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=RJAS20&page=instructions
Journal of Biological social_science	0021-9266	2157-6009	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJBE20&page=instructions
Journal of Cultural Economy	1753-0350	1753-0369	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJCE20&page=instructions
Journal of Change Management	1469-7017	1479-1811	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RJCM20&page=instructions
Journal of International and Comparative Social Policy	2169-9763	2169-978X	medicine	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RJCS20&page=instructions
Journal of Development Effectiveness	1943-9342	1943-9407	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJDE20&page=instructions
Journal of Eastern African Studies	1753-1055	1753-1063	political_science	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=RJEA20&page=instructions
Journal of Economic Methodology	1350-178X	1469-9427	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RJEC20&page=instructions
Journal of Forensic Psychiatry & Psychology	1478-9949	1478-9957	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RJFP20&page=instructions
Journal of Heritage Tourism	1743-873X	1747-6631	political_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RJHT20&page=instructions
Journal of Intercultural Communication Research	1747-5759	1747-5767	humanities	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RJIC20&page=instructions
The Journal of Legal Pluralism and Unofficial Law	0732-9113	2305-9931	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJLP20&page=instructions
Journal of Marketing Communications	1352-7266	1466-4445	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJMC20&page=instructions
Journal of Marketing Management	0267-257X	1472-1376	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RJMM20&page=instructions
Journal of Natural Resources Policy Research	1939-0459	1939-0467	biology	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=RJNR20&page=instructions
Journal of Contemporary Asia	0047-2336	1752-7554	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJOC20&page=instructions
Journalism Practice	1751-2786	1751-2794	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJOP20&page=instructions
Journalism Studies	1461-670X	1469-9699	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJOS20&page=instructions
Journal of Urbanism: International Research on Placemaking and Urban Sustainability	1754-9175	1754-9183	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJOU20&page=instructions
