Title	ISSN	EISSN	category-field	parent	documentation
High Ability Studies	1359-8139	1469-834X	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CHAS20&page=instructions
Islam and Christian–Muslim Relations	0959-6410	1469-9311	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CICM20&page=instructions
Information & Communications Technology Law	1360-0834	1469-8404	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CICT20&page=instructions
Innovation: The European Journal of Social Science Research	1351-1610	1469-8412	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIEJ20&page=instructions
International Journal of Early Years social_science	0966-9760	1469-8463	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIEY20&page=instructions
International Journal of the Economics of Business	1357-1516	1466-1829	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIJB20&page=instructions
International Journal of Children's Spirituality	1364-436X	1469-8455	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIJC20&page=instructions
International Journal of Disability, Development and social_science	1034-912X	1465-346X	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CIJD20&page=instructions
International Journal of Environmental Health Research	0960-3123	1369-1619	biology	taylor-and-francis-council-of-science-editors-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIJE20&page=instructions
International Journal of Water Resources Development	0790-0627	1360-0648	political_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CIJW20&page=instructions
International Review of Applied Economics	0269-2171	1465-3486	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIRA20&page=instructions
International Review of Law, Computers & Technology	1360-0869	1364-6885	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIRL20&page=instructions
International Studies in the Philosophy of Science	0269-8595	1469-9281	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CISP20&page=instructions
Irish Studies Review	0967-0882	1469-9303	political_science	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=CISR20&page=instructions
