Title	ISSN	eISSN	Documentation	Field	Field2
International Journal of Systematic and Evolutionary Microbiology	1466-5026	1466-5034	http://ijs.sgmjournals.org/	biology	x
JMM Case Reports		2053-3721	http://jmmcr.sgmjournals.org/	biology	medicine
Journal of General Virology	0022-1317	1465-2099	http://vir.sgmjournals.org/	biology	medicine
Journal of Medical Microbiology	0022-2615	1473-5644	http://jmm.sgmjournals.org/	biology	medicine
Microbiology	1350-0872	1465-2080	http://mic.sgmjournals.org/	biology	x
