Title	ISSN	eISSN
Biomedical Reports	2049-9434	2049-9442
Experimental and Therapeutic Medicine	1792-0981	1792-1015
International Journal of Molecular Medicine	1107-3756	1791-244X
International Journal of Oncology	1019-6439	1791-2423
Molecular and Clinical Oncology	2049-9450	2049-9469
Molecular Medicine Reports	1791-2997	1791-3004
Oncology Letters	1792-1074	1792-1082
Oncology Reports	1021-335X	1791-2431
