publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Psychological Monographs	0096-9753		1918	25	1	1938	50	6	http://content.apa.org/journals/mon		mon				Psychological Review Company
Psychological Monographs	0096-9753		1939	51	1	1947	61	6	http://content.apa.org/journals/mon		mon				American Psychological Association
Psychological Monographs: General and Applied	0096-9753		1948	62	1	1966	80	25	http://content.apa.org/journals/mon		mon				American Psychological Association
The Psychologist-Manager Journal	1088-7156	1550-3461	1997	1	1	2003	6	2	http://content.apa.org/journals/mgr		mgr				Lawrence Erlbaum
The Psychologist-Manager Journal	1088-7156	1550-3461	2005	8	1	2012-10	15	4	http://content.apa.org/journals/mgr		mgr				Taylor & Francis
The Psychologist-Manager Journal	1088-7156	1550-3461	2013-02	16	1				http://content.apa.org/journals/mgr		mgr				Educational Publishing Foundation
Theoretical & Philosophical Psychology	1068-8455		1986	6	1	1992	12	2	http://content.apa.org/journals/teo		teo				Division 24 of the American Psychological Association, the Division of Theoretical and Philosophical Psychology
Journal of Theoretical and Philosophical Psychology	1068-8471	2151-3341	1993	13	1	2003	23	2	http://content.apa.org/journals/teo		teo				Division 24 of the American Psychological Association, the Division of Theoretical and Philosophical Psychology
Journal of Theoretical and Philosophical Psychology	1068-8471	2151-3341	2004	24	1	2004	24	2	http://content.apa.org/journals/teo		teo				Division 24 of the American Psychological Association
Journal of Theoretical and Philosophical Psychology	1068-8471	2151-3341	2005	25	1	2008	28	2	http://content.apa.org/journals/teo		teo				Division 24 of the American Psychological Association, Society for Theoretical and Philosophical Psychology
Journal of Theoretical and Philosophical Psychology	1068-8471	2151-3341	2009	29	1				http://content.apa.org/journals/teo		teo				Educational Publishing Foundation
Training and Education in Professional Psychology	1931-3918	1931-3926	2006-08	S	1				http://content.apa.org/journals/tep		tep				American Psychological Association
Traumatology	1534-7656	1085-9373	2002-03	8	1	2006-12	12	4	http://content.apa.org/journals/trm		trm				Academy of Traumatology
Traumatology	1534-7656	1085-9373	2007-03	13	1	2013-12	19	4	http://content.apa.org/journals/trm		trm				Sage Publications
Traumatology: An International Journal		1085-9373	2014-03	20	1				http://content.apa.org/journals/trm		trm				Educational Publishing Foundation
Treatment		1522-3736	1997-09	1	1	1997-09	1	1	http://content.apa.org/journals/pre		pre				American Psychological Association
Prevention & Treatment		1522-3736	1998-06	1	2	2003-06	6	1	http://content.apa.org/journals/pre		pre				American Psychological Association
Zeitschrift für Psychologie/Journal of Psychology	0044-3409		2007	215	1	2009	217	3	http://content.apa.org/journals/zfp		zfp				Hogrefe & Huber Publishers
Zeitschrift für Psychologie/Journal of Psychology	0044-3409		2009	217	4	2010	218	4	http://content.apa.org/journals/zfp		zfp				Hogrefe Publishing
Zeitschrift für Psychologie/Journal of Psychology	2190-8370	2151-2604	2011	219	1	2011	219	4	http://content.apa.org/journals/zfp		zfp				Hogrefe Publishing
Zeitschrift für Psychologie	2190-8370	2151-2604	2012	220	1				http://content.apa.org/journals/zfp		zfp				Hogrefe Publishing
