Title	ISSN	eISSN	Documentation
Aquaculture Environment Interactions	1869-215X	1869-7534	http://www.int-res.com/journals/aei/aei-home/
Aquatic Biology	1864-7782	1864-7790	http://www.int-res.com/journals/ab/ab-home/
Aquatic Microbial Ecology	0948-3055	1616-1564	http://www.int-res.com/journals/ame/ame-home/
Climate Research	0936-577X	1616-1572	http://www.int-res.com/journals/cr/cr-home/
Diseases of Aquatic Organisms	0177-5103	1616-1580	http://www.int-res.com/journals/dao/dao-home/
Endangered Species Research	1863-5407	1613-4796	http://www.int-res.com/journals/esr/esr-home/
Ethics in Science and Environmental Politics	1863-5415	1611-8014	http://www.int-res.com/journals/esep/esep-home/
Marine Ecology Progress Series	0171-8630	1616-1599	http://www.int-res.com/journals/meps/meps-home/
Sexuality and Early Development in Aquatic Organisms	2195-2736	2195-2744	http://www.int-res.com/journals/sedao/sedao-home/
