Title	TitleShort	ISSN	Documentation	Parent	Format
Multidisciplinary Respiratory Medicine	Multidiscip Respir Med	2049-6958	http://www.mrmjournal.com	biomed-central	numeric
Neural Development	Neural Dev	1749-8104	http://www.neuraldevelopment.com	biomed-central	numeric
Nutrition & Metabolism	Nutr Metab (Lond)	1743-7075	http://www.nutritionandmetabolism.com	biomed-central	numeric
Nutrition Journal	Nutr J	1475-2891	http://www.nutritionj.com	biomed-central	numeric
Orphanet Journal of Rare Diseases	Orphanet J Rare Dis	1750-1172	http://www.ojrd.com	biomed-central	numeric
Parasites & Vectors	Parasit Vectors	1756-3305	http://www.parasitesandvectors.com	biomed-central	numeric
Particle and Fibre Toxicology	Part Fibre Toxicol	1743-8977	http://www.particleandfibretoxicology.com	biomed-central	numeric
Patient Safety in Surgery	Patient Saf Surg	1754-9493	http://www.pssjournal.com	biomed-central	numeric
Pediatric Rheumatology	Pediatr Rheumatol	1546-0096	http://www.ped-rheum.com	biomed-central	numeric
Perioperative Medicine	perioper med	2047-0525	http://www.perioperativemedicinejournal.com	biomed-central	numeric
Philosophy, Ethics, and Humanities in Medicine	Philos Ethics Humanit Med	1747-5341	http://www.peh-med.com	biomed-central	numeric
Plant Methods	Plant Methods	1746-4811	http://www.plantmethods.com	biomed-central	numeric
Population Health Metrics	Popul Health Metrics	1478-7954	http://www.pophealthmetrics.com	biomed-central	numeric
Proteome Science	Proteome Sci	1477-5956	http://www.proteomesci.com	biomed-central	numeric
Radiation Oncology	Radiat Oncol	1748-717X	http://www.ro-journal.com	biomed-central	numeric
Regenerative Medicine Research	Regen Med Res	2050-490X	http://www.regenmedres.com	biomed-central	numeric
Reproductive Biology and Endocrinology	Reprod Biol Endocrinol	1477-7827	http://www.rbej.com	biomed-central	numeric
Reproductive Health	Reprod Health	1742-4755	http://www.reproductive-health-journal.com	biomed-central	numeric
Respiratory Research	Respir Res	1465-9921	http://respiratory-research.com	biomed-central	numeric
Retrovirology	Retrovirology	1742-4690	http://www.retrovirology.com	biomed-central	numeric
Revista Chilena de Historia Natural	Revista Chilena de Historia Natural	0717-6317	http://www.revchilhistnat.com	biomed-central	numeric
Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine	Scand J Trauma Resusc Emerg Med	1757-7241	http://www.sjtrem.com	biomed-central	numeric
Scoliosis	Scoliosis	1748-7161	http://www.scoliosisjournal.com	biomed-central	numeric
Skeletal Muscle	Skeletal Muscle	2044-5040	http://www.skeletalmusclejournal.com	biomed-central	numeric
Source Code for Biology and Medicine	Source Code Biol Med	1751-0473	http://www.scfbm.org	biomed-central	numeric
Stem Cell Research & Therapy	Stem Cell Res Ther	1757-6512	http://stemcellres.com	biomed-central	numeric
Substance Abuse Treatment, Prevention, and Policy	Subst Abuse Treat Prev Policy	1747-597X	http://www.substanceabusepolicy.com	biomed-central	numeric
Sustainable Chemical Processes	Sustain Chem Process	2043-7129	http://www.sustainablechemicalprocesses.com	biomed-central	numeric
Systematic Reviews	Sys Rev	2046-4053	http://www.systematicreviewsjournal.com	biomed-central	numeric
The Journal of Mathematical Neuroscience	The Journal of Mathematical Neuroscience	2190-8567	http://www.mathematical-neuroscience.com	biomed-central	numeric
Theoretical Biology and Medical Modelling	Theor Biol Med Model	1742-4682	http://www.tbiomed.com	biomed-central	numeric
Thrombosis Journal	Thrombosis J	1477-9560	http://www.thrombosisjournal.com	biomed-central	numeric
Thyroid Research	Thyroid Res	1756-6614	http://www.thyroidresearchjournal.com	biomed-central	numeric
Tobacco Induced Diseases	Tob Induced Dis	1617-9625	http://www.tobaccoinduceddiseases.com	biomed-central	numeric
Translational Neurodegeneration	Transl Neurodegener	2047-9158	http://www.translationalneurodegeneration.com	biomed-central	numeric
Translational Respiratory Medicine	Transl Respir Med	2213-0802	http://www.transrespmed.com	biomed-central	numeric
Transplantation Research	Transplant Res	2047-1440	http://www.transplantationresearch.com	biomed-central	numeric
Trials	Trials	1745-6215	http://www.trialsjournal.com	biomed-central	numeric
Vascular Cell	Vasc Cell	2045-824X	http://www.vascularcell.com	biomed-central	numeric
Veterinary Research	Vet Res	1297-9716	http://www.veterinaryresearch.org	biomed-central	numeric
Virology Journal	Virol J	1743-422X	http://www.virologyj.com	biomed-central	numeric
World Allergy Organization Journal	World Allergy Organization J	1939-4551	http://www.waojournal.org	biomed-central	numeric
World Journal of Emergency Surgery	World J Emerg Surg	1749-7922	http://www.wjes.org	biomed-central	numeric
World Journal of Surgical Oncology	World J Surg Onc	1477-7819	http://www.wjso.com	biomed-central	numeric
International Aquatic Research	Int Aquat Res	2008-6970	http://www.intaquares.com	springer-basic-author-date	author-date
Journal of Uncertainty Analysis and Applications	J Uncertain Anal Appl	2195-5468	http://www.juaa-journal.com	springer-mathphys-brackets	numeric
The Journal of Mathematical Neuroscience	The Journal of Mathematical Neuroscience	2190-8567	http://www.mathematical-neuroscience.com	biomed-central	numeric
Injury Epidemiology	Inj Epidemiol	2197-1714	http://www.injepijournal.com	springer-vancouver-author-date	author-date
International Journal of Bipolar Disorders	Int J Bipolar Disord	2194-7511	http://www.journalbipolardisorders.com	springer-vancouver-author-date	author-date
Journal of Cardiovascular Magnetic Resonance	J Cardiovasc Magn Reson	1532-429X	http://jcmr-online.com	biomed-central	numeric
Progress in Orthodontics	Prog Orthod 	2196-1042	http://www.progressinorthodontics.com	springer-vancouver-brackets	numeric
