Title	TitleShort	ISSN	Documentation	Parent	Format
BMC Family Practice	BMC Fam Pract	1471-2296	http://www.biomedcentral.com/bmcfampract/	biomed-central	numeric
BMC Gastroenterology	BMC Gastroenterol	1471-230X	http://www.biomedcentral.com/bmcgastroenterol/	biomed-central	numeric
BMC Genetics	BMC Genet	1471-2156	http://www.biomedcentral.com/bmcgenet/	biomed-central	numeric
BMC Genomics	BMC Genomics	1471-2164	http://www.biomedcentral.com/bmcgenomics/	biomed-central	numeric
BMC Geriatrics	BMC Geriatr	1471-2318	http://www.biomedcentral.com/bmcgeriatr/	biomed-central	numeric
BMC Health Services Research	BMC Health Serv Res	1472-6963	http://www.biomedcentral.com/bmchealthservres/	biomed-central	numeric
BMC Hematology	BMC Hematol	2052-1839	http://biomedcentral.com/bmchematol/	biomed-central	numeric
BMC Immunology	BMC Immunol	1471-2172	http://www.biomedcentral.com/bmcimmunol/	biomed-central	numeric
BMC Infectious Diseases	BMC Infect Dis	1471-2334	http://www.biomedcentral.com/bmcinfectdis/	biomed-central	numeric
BMC International Health and Human Rights	BMC Int Health Hum Rights	1472-698X	http://www.biomedcentral.com/bmcinthealthhumrights/	biomed-central	numeric
BMC Medical Education	BMC Med Educ	1472-6920	http://www.biomedcentral.com/bmcmededuc/	biomed-central	numeric
BMC Medical Ethics	BMC Med Ethics	1472-6939	http://www.biomedcentral.com/bmcmedethics/	biomed-central	numeric
BMC Medical Genetics	BMC Med Genet	1471-2350	http://www.biomedcentral.com/bmcmedgenet/	biomed-central	numeric
BMC Medical Genomics	BMC Med Genomics	1755-8794	http://www.biomedcentral.com/bmcmedgenomics/	biomed-central	numeric
BMC Medical Imaging	BMC Med Imaging	1471-2342	http://www.biomedcentral.com/bmcmedimaging/	biomed-central	numeric
BMC Medical Informatics and Decision Making	BMC Med Inform Decis Mak	1472-6947	http://www.biomedcentral.com/bmcmedinformdecismak/	biomed-central	numeric
BMC Medical Physics	BMC Med Phys	1756-6649	http://www.biomedcentral.com/bmcmedphys/	biomed-central	numeric
BMC Medical Research Methodology	BMC Med Res Methodol	1471-2288	http://www.biomedcentral.com/bmcmedresmethodol/	biomed-central	numeric
BMC Medicine	BMC Med	1741-7015	http://www.biomedcentral.com/bmcmed/	biomed-central	numeric
BMC Microbiology	BMC Microbiol	1471-2180	http://www.biomedcentral.com/bmcmicrobiol/	biomed-central	numeric
BMC Molecular Biology	BMC Mol Biol	1471-2199	http://www.biomedcentral.com/bmcmolbiol/	biomed-central	numeric
BMC Musculoskeletal Disorders	BMC Musculoskelet Disord	1471-2474	http://www.biomedcentral.com/bmcmusculoskeletdisord/	biomed-central	numeric
BMC Nephrology	BMC Nephrol	1471-2369	http://www.biomedcentral.com/bmcnephrol/	biomed-central	numeric
BMC Neurology	BMC Neurol	1471-2377	http://www.biomedcentral.com/bmcneurol/	biomed-central	numeric
BMC Neuroscience	BMC Neurosci	1471-2202	http://www.biomedcentral.com/bmcneurosci/	biomed-central	numeric
BMC Nursing	BMC Nurs	1472-6955	http://www.biomedcentral.com/bmcnurs/	biomed-central	numeric
BMC Obesity	BMC Obes	2052-9538	http://www.biomedcentral.com/bmcobes	biomed-central	numeric
BMC Ophthalmology	BMC Ophthalmol	1471-2415	http://www.biomedcentral.com/bmcophthalmol/	biomed-central	numeric
BMC Oral Health	BMC Oral Health	1472-6831	http://www.biomedcentral.com/bmcoralhealth/	biomed-central	numeric
BMC Palliative Care	BMC Palliat Care	1472-684X	http://www.biomedcentral.com/bmcpalliatcare/	biomed-central	numeric
BMC Pediatrics	BMC Pediatr	1471-2431	http://www.biomedcentral.com/bmcpediatr/	biomed-central	numeric
BMC Pharmacology and Toxicology	BMC pharmacol toxicol	2050-6511	http://www.biomedcentral.com/bmcpharmacoltoxicol	biomed-central	numeric
BMC Physiology	BMC Physiol	1472-6793	http://www.biomedcentral.com/bmcphysiol/	biomed-central	numeric
BMC Plant Biology	BMC Plant Biol	1471-2229	http://www.biomedcentral.com/bmcplantbiol/	biomed-central	numeric
BMC Pregnancy and Childbirth	BMC Pregnancy Childbirth	1471-2393	http://www.biomedcentral.com/bmcpregnancychildbirth/	biomed-central	numeric
BMC Proceedings	BMC Proc	1753-6561	http://www.biomedcentral.com/bmcproc/	biomed-central	numeric
BMC Psychiatry	BMC Psychiatry	1471-244X	http://www.biomedcentral.com/bmcpsychiatry/	biomed-central	numeric
BMC Psychology	BMC Psychol	2050-7283	http://www.biomedcentral.com/bmcpsychol/	biomed-central	numeric
BMC Public Health	BMC Public Health	1471-2458	http://www.biomedcentral.com/bmcpublichealth/	biomed-central	numeric
BMC Pulmonary Medicine	BMC Pulm Med	1471-2466	http://www.biomedcentral.com/bmcpulmmed/	biomed-central	numeric
BMC Research Notes	BMC Res Notes	1756-0500	http://www.biomedcentral.com/bmcresnotes/	biomed-central	numeric
BMC Sports Science, Medicine and Rehabilitation	BMC Sports Sci Med Rehabil	2052-1847	http://biomedcentral.com/bmcsportsscimedrehabil/	biomed-central	numeric
BMC Structural Biology	BMC Struct Biol	1472-6807	http://www.biomedcentral.com/bmcstructbiol/	biomed-central	numeric
BMC Surgery	BMC Surg	1471-2482	http://www.biomedcentral.com/bmcsurg/	biomed-central	numeric
BMC Systems Biology	BMC Syst Biol	1752-0509	http://www.biomedcentral.com/bmcsystbiol/	biomed-central	numeric
BMC Urology	BMC Urol	1471-2490	http://www.biomedcentral.com/bmcurol/	biomed-central	numeric
BMC Veterinary Research	BMC Vet Res	1746-6148	http://www.biomedcentral.com/bmcvetres/	biomed-central	numeric
BMC Women's Health	BMC Womens Health	1472-6874	http://www.biomedcentral.com/bmcwomenshealth/	biomed-central	numeric
Basic and Clinical Andrology	Basic Clin Androl	2051-4190	http://www.bacandrology.com	biomed-central	numeric
Behavioral and Brain Functions	Behav Brain Funct	1744-9081	http://www.behavioralandbrainfunctions.com	biomed-central	numeric
BioData Mining	BioData Mining	1756-0381	http://www.biodatamining.org/	biomed-central	numeric
BioMedical Engineering OnLine	BioMed Eng OnLine	1475-925X	http://www.biomedical-engineering-online.com	biomed-central	numeric
BioPsychoSocial Medicine	BioPsychoSocial Med	1751-0759	http://www.bpsmedicine.com	biomed-central	numeric
Biological Procedures Online	Biol Proced Online	1480-9222	http://www.biologicalproceduresonline.com	biomed-central	numeric
Biological Research	Biol Res	0717-6287	http://www.biolres.com	biomed-central	numeric
Biology Direct	Biol Direct	1745-6150	http://www.biologydirect.com	biomed-central	numeric
Biology of Mood & Anxiety Disorders	Biol Mood Anxiety Disord	2045-5380	http://www.biolmoodanxietydisord.com	biomed-central	numeric
Biology of Sex Differences	Biol sex dif	2042-6410	http://www.bsd-journal.com	biomed-central	numeric
Biomarker Research	Biomark Res	2050-7771	http://www.biomarkerres.org	biomed-central	numeric
Biotechnology for Biofuels	Biotechnol Biofuels	1754-6834	http://www.biotechnologyforbiofuels.com	biomed-central	numeric
Borderline Personality Disorder and Emotion Dysregulation	Bord Personal Disord Emot Dysregul	2051-6673	http://www.bpded.com	biomed-central	numeric
Breast Cancer Research	Breast Cancer Res	1465-5411	http://breast-cancer-research.com/	biomed-central	numeric
Canadian Journal of Kidney Health and Disease	Can J Kidney Health Dis	2054-3581	http://www.cjkhd.org	biomed-central	numeric
Cancer & Metabolism	Cancer Metab	2049-3002	http://www.cancerandmetabolism.com	biomed-central	numeric
Cancer Cell International	Cancer Cell Int	1475-2867	http://www.cancerci.com	biomed-central	numeric
Cancer Imaging	Cancer Imaging	1470-7330	http://www.cancerimagingjournal.com	biomed-central	numeric
Canine Genetics and Epidemiology	Canine Genet Epidemiol	2052-6687	http://www.cgejournal.org	biomed-central	numeric
Carbon Balance and Management	Carbon Balance Manage	1750-0680	http://www.cbmjournal.com	biomed-central	numeric
Cardiovascular Diabetology	Cardiovasc Diabetol	1475-2840	http://www.cardiab.com	biomed-central	numeric
Cardiovascular Ultrasound	Cardiovasc Ultrasound	1476-7120	http://www.cardiovascularultrasound.com	biomed-central	numeric
Cell & Bioscience	Cell Biosci	2045-3701	http://www.cellandbioscience.com	biomed-central	numeric
Cell Communication and Signaling	Cell Commun Signal	1478-811X	http://www.biosignaling.com	biomed-central	numeric
Cell Division	Cell Div	1747-1028	http://www.celldiv.com	biomed-central	numeric
Cell Regeneration	Cell Regen	2045-9769	http://www.cellregenerationjournal.com	biomed-central	numeric
Chemistry Central Journal	Chemistry Central Journal	1752-153X	http://journal.chemistrycentral.com/	biomed-central	numeric
Child and Adolescent Psychiatry and Mental Health	Child Adolesc Psychiatry Ment Health	1753-2000	http://www.capmh.com	biomed-central	numeric
Chinese Medicine	Chin Med	1749-8546	http://www.cmjournal.org	biomed-central	numeric
Chiropractic & Manual Therapies	Chiropr Man Therap	2045-709X	http://www.chiromt.com	biomed-central	numeric
Cilia	Cilia	2046-2530	http://www.ciliajournal.com	biomed-central	numeric
Clinical Epigenetics	Clin Epigenetics	1868-7083	http://www.clinicalepigeneticsjournal.com	biomed-central	numeric
Clinical Proteomics	Clin Proteomics	1559-0275	http://www.clinicalproteomicsjournal.com	biomed-central	numeric
Clinical Sarcoma Research	Clin Sarcoma Res	2045-3329	http://www.clinicalsarcomaresearch.com	biomed-central	numeric
Clinical and Molecular Allergy	Clin Mol Allergy	1476-7961	http://www.clinicalmolecularallergy.com	biomed-central	numeric
Clinical and Translational Allergy	Clin Transl Allergy	2045-7022	http://www.ctajournal.com	biomed-central	numeric
Clinical and Translational Medicine	Clin Transl Med	2001-1326	http://www.clintransmed.com	biomed-central	numeric
Conflict and Health	Confl Health	1752-1505	http://www.conflictandhealth.com	biomed-central	numeric
Cost Effectiveness and Resource Allocation	Cost Eff Resour Alloc	1478-7547	http://www.resource-allocation.com	biomed-central	numeric
Cough	Cough	1745-9974	http://www.coughjournal.com	biomed-central	numeric
Critical Care	Crit Care	1364-8535	http://ccforum.com/	biomed-central	numeric
DARU Journal of Pharmaceutical Sciences	DARU	2008-2231	http://www.darujps.com	biomed-central	numeric
Diabetology & Metabolic Syndrome	Diabetol Metab Syndr	1758-5996	http://www.dmsjournal.com	biomed-central	numeric
Diagnostic Pathology	Diagn Pathol	1746-1596	http://www.diagnosticpathology.org	biomed-central	numeric
EJNMMI Physics	EJNMMI Phys	2197-7364	http://www.ejnmmiphys.com	biomed-central	numeric
EJNMMI Research	EJNMMI Res	2191-219X	http://www.ejnmmires.com	biomed-central	numeric
EPMA Journal	EPMA J	1878-5085	http://www.epmajournal.com	biomed-central	numeric
Emerging Themes in Epidemiology	Emerg Themes Epidemiol	1742-7622	http://www.ete-online.com	biomed-central	numeric
Environmental Evidence	Environ Evid	2047-2382	http://www.environmentalevidencejournal.org	biomed-central	numeric
Environmental Health	Environ Health	1476-069X	http://www.ehjournal.net	biomed-central	numeric
Environmental Sciences Europe	Environ Sci Eur	2190-4715	http://www.enveurope.com	biomed-central	numeric
