Title	TitleShort	ISSN	EISSN	Parent	Field	Documentation
Accounts of Chemical Research	Acc. Chem. Res.	0001-4842	1520-4898	american-chemical-society-with-titles-no-et-al	chemistry	http://pubs.acs.org/paragonplus/submission/achre4/achre4_authguide.pdf
ACS Applied Materials & Interfaces	ACS Appl. Mater. Interfaces	1944-8244	1944-8252	american-chemical-society-with-titles-no-et-al	chemistry	http://pubs.acs.org/paragonplus/submission/aamick/aamick_authguide.pdf
ACS Biomaterials Science & Engineering				american-chemical-society-with-titles-sentence-case-doi	chemistry	http://pubs.acs.org/journal/abseba
ACS Catalysis	ACS Catal.	x	2155-5435	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/accacs/accacs_authguide.pdf
ACS Chemical Biology	ACS Chem. Biol.	1554-8929	1554-8937	biochemistry	chemistry	http://pubs.acs.org/paragonplus/submission/acbcct/acbcct_authguide.pdf
ACS Chemical Neuroscience	ACS Chem. Neurosci.	x	1948-7193	biochemistry	chemistry	http://pubs.acs.org/paragonplus/submission/acncdm/acncdm_authguide.pdf
ACS Combinatorial Science	ACS Comb. Sci.	2156-8952	2156-8944	american-chemical-society-with-titles-no-et-al	chemistry	http://pubs.acs.org/paragonplus/submission/acsccc/acsccc_authguide.pdf
ACS Infectious Diseases				american-chemical-society-with-titles-sentence-case-doi	chemistry	x
ACS Macro Letters	ACS Macro Lett.	x	2161-1653	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/amlccd/amlccd_authguide.pdf
ACS Medicinal Chemistry Letters	ACS Med. Chem. Lett.	x	1948-5875	american-chemical-society-with-titles-no-et-al	chemistry	http://pubs.acs.org/paragonplus/submission/amclct/amclct_authguide.pdf
ACS Nano	ACS Nano	1936-0851	1936-086X	american-chemical-society-with-titles	chemistry	http://pubs.acs.org/paragonplus/submission/ancac3/ancac3_authguide.pdf
ACS Photonics	ACS Photonics	x	2330-4022	american-chemical-society-with-titles-no-et-al	chemistry	http://pubs.acs.org/paragonplus/submission/apchd5/apchd5_authguide.pdf
ACS Sustainable Chemistry & Engineering	ACS Sustainable Chem. Eng.	x	2168-0485	american-chemical-society-with-titles-sentence-case	chemistry	http://pubs.acs.org/paragonplus/submission/ascecg/ascecg_authguide.pdf
ACS Synthetic Biology	ACS Synth. Biol.	x	2161-5063	biochemistry	chemistry	http://pubs.acs.org/paragonplus/submission/asbcd6/asbcd6_authguide.pdf
Analytical Chemistry	Anal. Chem.	0003-2700	1520-6882	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/ancham/ancham_authguide.pdf
Bioconjugate Chemistry	Bioconjugate Chem.	1043-1802	1520-4812	biochemistry	chemistry	http://pubs.acs.org/paragonplus/submission/bcches/bcches_authguide.pdf
Biomacromolecules	Biomacromolecules	1525-7797	1526-4602	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/bomaf6/bomaf6_authguide.pdf
Chemical Research in Toxicology	Chem. Res. Toxicol.	0893-228X	1520-5010	biochemistry	chemistry	http://pubs.acs.org/paragonplus/submission/crtoec/crtoec_authguide.pdf
Chemical Reviews	Chem. Rev.	0009-2665	1520-6890	american-chemical-society-with-titles	chemistry	http://pubs.acs.org/paragonplus/submission/chreay/chreay_authguide.pdf
Chemistry of Materials	Chem. Mater.	0897-4756	1520-5002	american-chemical-society-with-titles-no-et-al	chemistry	http://pubs.acs.org/paragonplus/submission/cmatex/cmatex_authguide.pdf
Crystal Growth & Design	Cryst. Growth Des.	1528-7483	1528-7505	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/cgdefu/cgdefu_authguide.pdf
Energy & Fuels	Energy Fuels	0887-0624	1520-5029	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/enfuem/enfuem_authguide.pdf
Environmental Science & Technology	Environ. Sci. Technol.	0013-936X	1520-5851	american-chemical-society-with-titles-sentence-case	chemistry	http://pubs.acs.org/paragonplus/submission/esthag/esthag_authguide.pdf
Environmental Science & Technology Letters	Environ. Sci. Technol. Lett.	x	2328-8930	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/estlcu/estlcu_authguide.pdf
Industrial & Engineering Chemistry Research	Ind. Eng. Chem. Res.	0888-5885	1520-5045	american-chemical-society-with-titles-page-first	chemistry	http://pubs.acs.org/paragonplus/submission/iecred/iecred_authguide.pdf
Inorganic Chemistry	Inorg. Chem.	0020-1669	1520-510X	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/inocaj/inocaj_authguide.pdf
Journal of Agricultural and Food Chemistry	J. Agric. Food Chem.	0021-8561	1520-5118	american-chemical-society-with-titles-sentence-case	chemistry	http://pubs.acs.org/page/jafcau/submission/reference-guidelines.html
Journal of Chemical & Engineering Data	J. Chem. Eng. Data	0021-9568	1520-5134	american-chemical-society-with-titles-no-et-al	chemistry	http://pubs.acs.org/paragonplus/submission/jceaax/jceaax_authguide.pdf
Journal of Chemical Education	J. Chem. Educ.	0021-9584	1938-1328	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/jceda8/jceda8_authguide.pdf
Journal of Chemical Information and Modeling	J. Chem. Inf. Model.	1549-9596	1549-960X	american-chemical-society-with-titles-no-et-al	chemistry	http://pubs.acs.org/paragonplus/submission/jcisd8/jcisd8_authguide.pdf
Journal of Chemical Theory and Computation	J. Chem. Theory Comput.	1549-9618	1549-9626	american-chemical-society-with-titles-no-et-al	chemistry	http://pubs.acs.org/paragonplus/submission/jctcce/jctcce_authguide.pdf
Journal of Medicinal Chemistry	J. Med. Chem.	0022-2623	1520-4804	american-chemical-society-with-titles-no-et-al	chemistry	http://pubs.acs.org/paragonplus/submission/jmcmar/jmcmar_authguide.pdf
Journal of Natural Products	J. Nat. Prod.	0163-3864	1520-6025	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/jnprdf/jnprdf_authguide.pdf
Journal of Proteome Research	J. Proteome Res.	1535-3893	1535-3907	american-chemical-society-with-titles-sentence-case	chemistry	http://pubs.acs.org/paragonplus/submission/jprobs/jprobs_authguide.pdf
Journal of the American Chemical Society	J. Am. Chem. Soc.	0002-7863	1520-5126	american-chemical-society-page-first	chemistry	http://pubs.acs.org/paragonplus/submission/jacsat/jacsat_authguide.pdf
Langmuir	Langmuir	0743-7463	1520-5827	american-chemical-society-with-titles	chemistry	http://pubs.acs.org/paragonplus/submission/langd5/langd5_authguide.pdf
Macromolecules	Macromolecules	0024-9297	1520-5835	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/mamobx/mamobx_authguide.pdf
Molecular Pharmaceutics	Mol. Pharm.	1543-8384	1543-8392	american-chemical-society-with-titles-no-et-al	chemistry	http://pubs.acs.org/paragonplus/submission/mpohbp/mpohbp_authguide.pdf
Nano Letters	Nano Lett.	1530-6984	1530-6992	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/nalefd/nalefd_authguide.pdf
Organic Letters	Org. Lett.	1523-7060	1523-7052	american-chemical-society-page-first	chemistry	http://pubs.acs.org/paragonplus/submission/orlef7/orlef7_authguide.pdf
Organic Process Research & Development	Org. Process Res. Dev.	1083-6160	1520-586X	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/oprdfk/oprdfk_authguide.pdf
Organometallics	Organometallics	0276-7333	1520-6041	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/orgnd7/orgnd7_authguide.pdf
The Journal of Organic Chemistry	J. Org. Chem.	0022-3263	1520-6904	american-chemical-society	chemistry	http://pubs.acs.org/paragonplus/submission/joceah/joceah_authguide.pdf
The Journal of Physical Chemistry A	J. Phys. Chem. A	1089-5639	1520-5215	american-chemical-society-with-titles	chemistry	http://pubs.acs.org/paragonplus/submission/jpchax/jpchax_authguide.pdf
The Journal of Physical Chemistry B	J. Phys. Chem. B	1520-6106	1520-5207	american-chemical-society-with-titles	chemistry	http://pubs.acs.org/paragonplus/submission/jpchax/jpchax_authguide.pdf
The Journal of Physical Chemistry C	J. Phys. Chem. C	1932-7447	1932-7455	american-chemical-society-with-titles	chemistry	http://pubs.acs.org/paragonplus/submission/jpchax/jpchax_authguide.pdf
The Journal of Physical Chemistry Letters	J. Phys. Chem. Lett.	x	1948-7185	american-chemical-society-with-titles	chemistry	http://pubs.acs.org/paragonplus/submission/jpchax/jpclcd_authguide.pdf
