Title	ISSN	EISSN	Documentation	Format	Parent
Neuroepidemiology	0251-5350	1423-0208	http://www.karger.com?issn=1423-0208	numeric	karger-journals
Neuroimmunomodulation	1021-7401	1423-0216	http://www.karger.com?issn=1423-0216	numeric	karger-journals
Neuropsychobiology	0302-282X	1423-0224	http://www.karger.com?issn=1423-0224	numeric	karger-journals
Neurosignals	1424-862X	1424-8638	http://www.karger.com?issn=1424-8638	numeric	karger-journals
Obesity Facts	1662-4025	1662-4033	http://www.karger.com/Journal/Home/233731	numeric	karger-journals
Ocular Oncology and Pathology	2296-4681	2296-4657	http://www.karger.com/Journal/Home/261183	numeric	karger-journals
Oncology	0030-2414	1423-0232	http://www.karger.com?issn=1423-0232	numeric	karger-journals
Oncology Research and Treatment	2296-5270	2296-5262	http://www.karger.com/Journal/Home/224106	numeric	karger-journals
Ophthalmic Research	0030-3747	1423-0259	http://www.karger.com?issn=1423-0259	numeric	karger-journals
Ophthalmologica	0030-3755	1423-0267	http://www.karger.com?issn=1423-0267	numeric	karger-journals
Ophthalmologica Extra	x	2296-1445	http://www.karger.com/Journal/Home/257560	numeric	karger-journals
ORL	0301-1569	1423-0275	http://www.karger.com?issn=1423-0275	numeric	karger-journals
Pathobiology	1015-2008	1423-0291	http://www.karger.com?issn=1423-0291	numeric	karger-journals
Pediatric Neurosurgery	1016-2291	1423-0305	http://www.karger.com?issn=1423-0305	numeric	karger-journals
Pharmacology	0031-7012	1423-0313	http://www.karger.com?issn=1423-0313	numeric	karger-journals
Psychopathology	0254-4962	1423-033X	http://www.karger.com?issn=1423-033X	numeric	karger-journals
Psychotherapy and Psychosomatics	0033-3190	1423-0348	http://www.karger.com?issn=1423-0348	numeric	karger-journals
Public Health Genomics	1662-4246	1662-8063	http://www.karger.com/Journal/Home/224224	numeric	karger-journals
Pulse	2235-8676	2235-8668	http://www.karger.com/Journal/Home/257208	numeric	karger-journals
Respiration	0025-7931	1423-0356	http://www.karger.com?issn=1423-0356	numeric	karger-journals
Schweizerische Zeitschrift für Ganzheitsmedizin	1015-0684	1663-7607	http://www.karger.com/Journal/Home/253638	numeric	karger-journals
Skin Pharmacology and Physiology	1660-5527	1660-5535	http://www.karger.com?issn=1660-5527	numeric	karger-journals
Stereotactic and Functional Neurosurgery	1011-6125	1423-0372	http://www.karger.com?issn=1423-0372	numeric	karger-journals
Transfusion Medicine and Hemotherapy	1660-3796	1660-3818	http://www.karger.com?issn=1660-3818	numeric	karger-journals
Urologia Internationalis	0042-1138	1423-0399	http://www.karger.com?issn=1423-0399	numeric	karger-journals
Verhaltenstherapie	1016-6262	1423-0402	http://www.karger.com?issn=1423-0402	author-date	karger-journals-author-date
Viszeralmedizin	1662-6664	1662-6672	http://www.karger.com?issn=1421-9808	numeric	karger-journals
