Title	ISSN	eISSN	Documentation
Austrian Studies	1350-7532	2222-4262	http://www.mhra.org.uk/Publications/Journals/Austrian.html
Modern Language Review	0026-7937	2222-4319	http://www.mhra.org.uk/Publications/Journals/mlr.html
Portuguese Studies	0267-5315	2222-4270	http://www.mhra.org.uk/Publications/Journals/Portuguese.html
Slavonic & East European Review	0037-6795	2222-4327	http://www.mhra.org.uk/Publications/Journals/seer.html
Yearbook of English Studies	0306-2473	2222-4289	http://www.mhra.org.uk/Publications/Journals/yes.html
