Title	ISSN	eISSN	Documentation	Field
Biology Letters	1744-9561	1744-957X	http://rsbl.royalsocietypublishing.org/site/misc/styleandpolicy.xhtml#question3	biology
Interface Focus	2042-8898	2042-8901	http://rsif.royalsocietypublishing.org/site/misc/preparing-articles.xhtml#question8	science
Journal of the Royal Society Interface	1742-5689	1742-5662	http://rsif.royalsocietypublishing.org/site/misc/preparing-articles.xhtml#question8	science
Open Biology		2046-2441	http://rsob.royalsocietypublishing.org/site/misc/styleandpolicy.xhtml#question10	biology
Philosophical Transactions of the Royal Society A	1364-503X	1471-2962	http://rsta.royalsocietypublishing.org/site/misc/style-guide.xhtml#question9	physics
Philosophical Transactions of the Royal Society B	0962-8436	1471-2970	http://rstb.royalsocietypublishing.org/	biology
Proceedings of the Royal Society A	1364-5021	1471-2946	http://rspa.royalsocietypublishing.org/site/misc/preparing-your-article.xhtml#question3	physics
