Title	ISSN	EISSN	documentation
FEMS Microbiology Ecology	0168-6496	1574-6941	http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291574-6941/homepage/ForAuthors.html
FEMS Microbiology Letters	0378-1097	1574-6968	http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291574-6968/homepage/ForAuthors.html
FEMS Microbiology Reviews	0168-6445	1574-6976	http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291574-6976/homepage/ForAuthors.html
FEMS Yeast Research	1567-1356	1567-1364	http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291567-1364/homepage/ForAuthors.html
Pathogens and Disease	x	2049-632X	http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%292049-632X/homepage/ForAuthors.html
